profit_type,local_hour,baseline_mean_regret,proposed_mean_regret,mean_regret_change,baseline_P90_regret,proposed_P90_regret,baseline_max_regret,proposed_max_regret,baseline_CVaR90_regret,proposed_CVaR90_regret,CVaR90_change
원본,9,354.56110091163583,239.11890128036157,-115.44219963127426,427.91862834683974,331.2888627825242,1985.5354305831725,2001.350645948762,1033.5892121821823,913.1858215404563,-120.40339064172599
원본,10,250.6249665445706,252.66837622593067,2.0434096813600604,389.60340792157916,423.8724898706948,1205.7199967622028,1231.1302907789413,707.646730428842,840.1613461072546,132.5146156784126
원본,11,129.90868954842378,152.64404273971195,22.73535319128817,292.3023700408638,307.9395333463347,697.7423699511533,735.2994732529164,448.0931225930479,511.2817303657637,63.188607772715784
원본,12,126.50415894116772,81.64406960637807,-44.86008933478965,187.3441746843489,135.7185963762253,687.3762152136827,712.9729349999999,371.1259308443952,371.6851995186773,0.5592686742820661
원본,13,56.11671371800756,55.51206035057158,-0.6046533674359793,149.29671543634217,109.53868805683334,649.9422000000002,649.9422000000002,378.34802007626513,372.67037896160383,-5.677641114661299
원본,14,50.76680084105951,52.35511957239922,1.5883187313397045,145.8180453929333,108.96529927546558,341.6728509330602,407.18144131163274,280.7946904740108,275.81356733345825,-4.9811231405525405
원본,15,108.8107095733497,101.80487493679439,-7.005834636555306,134.83578577840152,113.5746560199422,459.83275062895314,620.470828669653,248.0055699927865,297.77356450596903,49.76799451318254
원본,16,187.92500294922442,181.76513404484726,-6.159868904377163,310.1643086490783,305.61611178338256,784.1595984753001,809.7516532745444,510.9147992208753,537.6624830985996,26.74768387772434
원본,17,218.55223235773025,189.94140620773777,-28.610826149992477,255.8977332014384,237.0235899665912,353.596654005511,317.33850532854547,321.56929591115,276.4151973607384,-45.15409855041162
원본,18,279.5875028355614,283.58046549679074,3.992962661229342,337.41968484614915,340.06953140613996,375.70006551522465,379.1435476809155,359.86464645555253,371.3865278915191,11.521881435966577
원본,19,329.3984935080751,318.7494199308352,-10.649073577239903,391.3287555291155,374.278443213394,440.8798583931063,430.66722724509697,410.0340470695535,396.3741081985988,-13.659938870954704
원본,20,350.95491637194306,350.4822672950629,-0.47264907688014546,403.52248773998446,403.3699774671344,480.6565324204409,480.26951974568124,446.7662922649045,446.6311108583033,-0.13518140660119116
4항,9,189.74167174744005,137.3494066376609,-52.392265109779146,366.9684724695581,306.7273955778259,2771.3749036192085,1554.9409769798074,1243.7999749706712,793.2098569843224,-450.5901179863488
4항,10,172.66383949479174,166.08129188379903,-6.5825476109927195,357.39599671436696,304.388819177542,1407.5569587807236,1328.8749025176444,826.508592197255,709.4259053669539,-117.0826868303011
4항,11,158.62686492827274,185.4694561110975,26.842591182824748,393.3663042562105,502.98074720765686,938.5391039950272,1056.6220124999995,756.2099283658844,878.1153439333383,121.90541556745393
4항,12,87.78159277072106,97.12268210180603,9.341089331084973,149.8848035185969,254.18731173374482,687.3762152136827,644.9695798066891,488.2375776808182,499.6016638963751,11.364086215556881
4항,13,129.9711372546028,125.08474258007256,-4.886394674530251,265.1380265722513,231.01090333089655,851.2700850000001,851.2700850000001,468.2909324958949,462.75360874999996,-5.537323745894923
4항,14,98.93015780377688,95.79062717983422,-3.1395306239426617,228.88158928295834,229.00882477967878,468.4669687500001,468.4669687500001,366.646050004214,364.1444283820227,-2.501621622191294
4항,15,61.243438095645764,56.37078950022389,-4.872648595421872,144.9310580831541,125.3173193427434,459.83275062895314,450.3553577165769,312.944528177691,298.5142825904473,-14.43024558724369
