local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,35.76776786291864,29.796008698181005,24.27210758519483,239.11890128036163,331.2888627825242,2001.350645948762,22.88841829880494
10,27.396980435511487,21.825545793160178,11.231771602477,252.66837622593067,423.8724898706948,1231.1302907789413,19.81817236312176
11,21.190127160372867,14.487967435139918,11.643787136495863,152.64404273971195,307.9395333463347,735.2994732529164,12.632839516671902
12,21.72515169234464,15.539175903527564,13.477380381012214,81.64406960637807,135.7185963762253,712.9729349999999,7.318672132163188
13,28.881976597440644,20.43651132532432,20.429502511771766,55.51206035057158,109.53868805683334,649.9422000000002,5.498567636048933
14,26.54847678365683,19.413785613501254,18.12567239011354,52.35511957239922,108.96529927546558,407.18144131163274,6.060768576978075
15,16.80177979568199,12.430488131626758,7.119044443367906,101.80487493679435,113.5746560199422,620.470828669653,13.817956215925616
16,15.883843777439566,11.85582108253951,6.487841548263305,181.76513404484726,305.61611178338256,809.7516532745444,27.018758817816806
17,16.785105961231352,13.269686890686636,10.771030647495362,189.94140620773777,237.0235899665912,317.33850532854547,36.72983184249449
18,5.9140604866258695,4.166991039490851,1.8651849064149302,283.5804654967907,340.06953140613996,379.1435476809155,66.48823642062749
19,4.558321785597255,3.800866884016781,3.2170286848648892,318.7494199308352,374.278443213394,430.66722724509697,84.72778766483873
20,1.2458401977330338,0.9420978996384015,-0.09763597774159632,350.48226729506285,403.3699774671344,480.26951974568124,94.91741876141211
