local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent
9,35.76776786291864,29.796008698181005,24.27210758519483
10,27.396980435511487,21.825545793160178,11.231771602477
11,21.190127160372867,14.487967435139918,11.643787136495863
12,21.72515169234464,15.539175903527564,13.477380381012214
13,28.881976597440644,20.43651132532432,20.429502511771766
14,26.54847678365683,19.413785613501254,18.12567239011354
15,16.80177979568199,12.430488131626758,7.119044443367906
16,15.883843777439566,11.85582108253951,6.487841548263305
17,16.785105961231352,13.269686890686636,10.771030647495362
18,5.9140604866258695,4.166991039490851,1.8651849064149302
19,4.558321785597255,3.800866884016781,3.2170286848648892
20,1.2458401977330338,0.9420978996384015,-0.09763597774159632
