W1_W2,nRMSE_percent,optimality_gap_percent,mean_regret,CVaR90_regret,max_regret,total_realized_profit,CVAR_alpha,CVAR_lambda
0/1,36.11893394807446,25.423896927248236,203.7199841308751,510.7565878520824,1985.535430583173,215126.39577163497,0.9,0.1
1/20,42.54408940711993,24.69232976539546,197.85798543611216,514.5398085639409,1908.1850570717224,217236.71530174962,0.9,0.1
1/10,82.68235158414895,14.154890833614715,113.42219268155168,451.6768157370447,1765.33788,247633.6006933914,0.9,0.1
1/5,116.45444614550016,3.43899805102563,27.556461166666658,275.5646116666666,1765.33788,278545.26403874997,0.9,0.1
1/2,116.45444614550016,3.43899805102563,27.556461166666658,275.5646116666666,1765.33788,278545.26403874997,0.9,0.1
1/1,116.45444614550016,3.43899805102563,27.556461166666658,275.5646116666666,1765.33788,278545.26403874997,0.9,0.1
2/1,116.45444551155568,3.4389984746288733,27.556464560971087,275.564643604557,1765.33788,278545.2628168004,0.9,0.1
5/1,116.45444614550016,3.43899805102563,27.556461166666658,275.5646116666666,1765.33788,278545.26403874997,0.9,0.1
10/1,116.45444614550016,3.43899805102563,27.556461166666658,275.5646116666666,1765.33788,278545.26403874997,0.9,0.1
20/1,116.45444614550016,3.43899805102563,27.556461166666658,275.5646116666666,1765.33788,278545.26403874997,0.9,0.1
1/0,116.45444614550016,3.43899805102563,27.556461166666658,275.5646116666666,1765.33788,278545.26403874997,0.9,0.1
