local_hour,RMSE_capacity_percent,MAE_capacity_percent,bias_capacity_percent,mean_economic_regret,P90_economic_regret,CVaR90_economic_regret,max_economic_regret,hourly_optimality_gap_percent
9,32.26712432977923,25.854697567382424,21.12895136426303,256.0866137385454,311.20563153886616,862.6866422422858,1908.1850570717224,24.51256468889481
10,28.349053209630593,23.14652898154475,14.327561593175908,235.24493131207115,458.86328775000044,804.8836031835011,1171.6900552339714,18.451555615826624
11,21.369068572037026,15.405345144450946,10.80714430881148,154.07085892247258,309.67759244518004,513.5095328885637,739.055962785078,12.750922997252543
12,20.888011404426788,14.730643358034397,12.272063691712567,87.05533895061782,155.93095309484863,369.6228118184227,716.7397725936544,7.803744793781498
13,28.970683925431445,20.62570983811879,20.62570983811879,54.57480667957615,95.56937408766439,373.69587879149634,663.9461597273421,5.405731004341199
14,33.18015577613384,27.790921023653453,-15.59911597335025,127.87793938813886,232.9762778999094,289.354214108249,318.04161478715685,14.803492056981696
15,16.31086032782617,11.85123668707228,2.2220140460332503,113.45570229502293,128.06954718777646,299.10285030504025,586.0716492506072,15.39932078628889
16,16.481014288688147,12.320342288613533,8.506447124086074,177.10617751325256,258.01510107101313,542.5548912208284,815.8467706524427,26.326221035302417
17,12.819798068198537,9.664866336994686,3.0033502081370114,212.29920985508886,253.03111718657152,310.86851555108575,348.25269297970794,41.05326181350657
18,6.022054470211227,4.169552973180238,2.1057462671065688,283.14702463037435,341.3559397967209,370.2832747060918,379.72505098682956,66.3866119354918
19,3.3880824126341094,2.812635741525534,1.9871861580193728,322.57595370777574,378.51310714546446,399.9454741446187,432.3401132751344,85.74493066517832
20,1.2144945308766735,0.9199215352999118,-0.2680745452125224,350.80126824040974,403.4931523642751,446.669798226561,480.38299080725045,95.00381042552813
