W1_W2,nRMSE_percent,optimality_gap_percent,mean_regret,CVaR90_regret,max_regret,total_realized_profit,CVAR_alpha,CVAR_lambda
0/1,36.11893394807446,14.92881003484084,88.56103179395733,521.261960350763,2771.3749036192057,181678.06027417537,0.9,0.1
1/20,41.1464729998109,13.126949892707099,77.87199542981607,436.81149058660964,1352.2966799435715,185526.11336526624,0.9,0.1
1/10,46.0175574482769,11.888941098900837,70.52785106106873,372.0847438320647,1066.2109103436437,188170.00533801527,0.9,0.1
1/5,56.035040948496125,11.431051454401675,67.81154753319372,332.34990015961483,841.3723599265757,189147.87460805028,0.9,0.1
1/2,63.94410355215124,11.7470924691842,69.68637334268752,325.87025854278534,822.1022303540001,188472.93731663248,0.9,0.1
1/1,69.91003204242081,11.930547284150384,70.77466823444766,332.31267971349126,840.0812608977012,188081.15115559884,0.9,0.1
2/1,71.78213661625874,11.035487408872223,65.4649733634559,294.76696320802125,726.6422455240911,189992.6413091559,0.9,0.1
5/1,73.86953000365763,11.20907517166423,66.4947347003466,300.430458609796,847.1892703272131,189621.92722787522,0.9,0.1
10/1,74.04502987430588,11.18907918884457,66.37611406908997,300.3195204960313,847.1892703272131,189664.63065512764,0.9,0.1
20/1,74.22282285540462,11.221075934743771,66.56592590434468,301.2852016392926,847.1892703272131,189596.2983944359,0.9,0.1
1/0,74.2636336974349,11.012718892328218,65.32990544358493,293.7265053866692,847.1892703272131,190041.2657603094,0.9,0.1
