W1_W2,nRMSE_percent,optimality_gap_percent,mean_regret,CVaR90_regret,max_regret,total_realized_profit,CVAR_alpha,CVAR_lambda
0/1,36.11893394807446,14.486693325161129,86.17227750424055,548.0785189139754,3070.2542957203946,183119.4629422234,0.9,0.1
1/20,43.132133847245605,13.477309515915355,80.1680845689527,471.64530416879165,1419.0388729081633,185280.97239892703,0.9,0.1
1/10,46.33670312755088,12.453024956369214,74.07525639019802,427.65554719830254,1135.5972902246633,187474.3905432787,0.9,0.1
1/5,56.422719488502075,11.456269383034547,68.14618093167975,370.1550722659862,1022.392862193826,189608.85770834528,0.9,0.1
1/2,64.5971284851098,12.039858309045684,71.61758643132465,376.70975828222635,1111.8932693204647,188359.15172847314,0.9,0.1
1/1,72.63943934189795,11.81627873442257,70.28765138567552,351.74683537228987,1019.0489919928127,188837.92834490683,0.9,0.1
2/1,73.17437459402123,11.656263000831796,69.33581787263499,340.07773424377046,999.4423377140351,189180.5884096014,0.9,0.1
5/1,73.14587227820256,11.574828203533327,68.85141319906349,335.87468174098365,1000.9902352535821,189354.97409208713,0.9,0.1
10/1,72.7929716449629,11.505602404675335,68.439632220772,335.67599689442557,1027.0680277145843,189503.21524427208,0.9,0.1
20/1,72.82543833818717,11.47122329647307,68.23513240940315,334.1069001598881,1027.0680277145843,189576.83517636487,0.9,0.1
1/0,72.96007543420723,11.482820888531664,68.30411923053772,334.0621110936581,1027.0680277145843,189551.99992075644,0.9,0.1
