zone,block,cvar_lambda,actual,forecast,da_price,rt_price,oracle_profit,realized_profit,regret,squared_error,test_date,local_hour
z03,18,0.0,0.504575,0.2580463408110458,35.800000000000004,30.97000000000001,541.9135500000001,506.19154728352066,35.72200271647944,0.060776379801503515,2013-11-23,9
z03,18,0.0,0.508625,0.25366880555713606,40.38,28.35,616.148325,524.1346344255704,92.01369057442957,0.06500266108478744,2013-11-23,10
z03,18,0.0,0.655375,0.6203985042460014,35.800000000000004,26.01,703.8727500000002,693.6001531970508,10.272596802949465,0.0012233552552294847,2013-11-23,11
z03,18,0.0,0.7322,0.6047186355754245,31.17,25.38,684.68022,662.5367069994513,22.143513000548637,0.016251498275551418,2013-11-23,12
z03,18,0.0,0.772925,0.6561815745665023,28.34,31.1,721.139025,666.8071906258937,54.33183437410628,0.013629027381946636,2013-11-23,13
z03,18,0.0,0.858,0.5644952022919335,25.47,25.06,655.5977999999999,651.9876909881907,3.610109011809186,0.08614506627765303,2013-11-23,14
z03,18,0.0,0.720525,0.47900500649068695,23.59,24.13,521.5880475,513.8281663948508,7.759881105149248,0.05833190726473861,2013-11-23,15
z03,18,0.0,0.636125,0.499678097084344,23.89,21.87,455.9107875000001,447.6421051833113,8.268682316688796,0.01861775731527446,2013-11-23,16
z03,18,0.0,0.42235,0.26946453657539016,23.01,23.65,299.657325,294.4836058977525,5.173719102247503,0.023373964926557717,2013-11-23,17
z03,18,0.0,0.189625,0.1630337373347825,21.5,22.92,130.38615,123.44091278953827,6.945237210461713,0.0007070952501305899,2013-11-23,18
z03,18,0.0,0.0868,0.043345246259812134,21.64,23.11,60.178439999999995,58.266914639942286,1.9115253600577091,0.0018883156226203715,2013-11-23,19
z03,18,0.0,0.0138,0.012926031605655917,21.62,22.24,9.20736,8.966935812134798,0.2404241878652016,7.63820754312374e-07,2013-11-23,20
z03,18,0.0,0.510075,0.38139342089276607,42.76,178.66,2733.899985,1178.9590080201926,1554.9409769798074,0.01655894880153129,2013-11-24,9
z03,18,0.0,0.729,0.5969496113596651,48.34,69.63,1522.8080999999997,1141.5363832245819,381.2717167754179,0.017437305140063492,2013-11-24,10
z03,18,0.0,0.7829,0.824790182471133,44.91,40.66,1054.80117,1031.9228468433907,22.878323156609213,0.0017547873874648155,2013-11-24,11
z03,18,0.0,0.80985,0.8066383945941897,41.52,39.67,1008.7491600000001,1008.5709158999775,0.178244100022539,1.031440928262946e-05,2013-11-24,12
z03,18,0.0,0.705925,0.674166033495664,37.2,36.71,787.8123,787.3454431923864,0.46685680761368076,0.0010086319534235407,2013-11-24,13
z03,18,0.0,0.396575,0.655365468367571,32.56,33.99,404.38752750000003,249.8790841563095,154.50844334369054,0.06697250651790677,2013-11-24,14
z03,18,0.0,0.7012,0.4977686397535848,29.29,31.03,652.7470800000001,626.763557004863,25.98352299513715,0.04138431833170677,2013-11-24,15
z03,18,0.0,0.575125,0.6544970300077196,32.05,30.61,552.9826874999999,518.2534557701222,34.72923172987771,0.006299919147546347,2013-11-24,16
z03,18,0.0,0.31325,0.4397404164221905,29.53,32.51,305.51272499999993,210.17100181764684,95.34172318235309,0.015999825446659174,2013-11-24,17
z03,18,0.0,0.13385,0.18767849231372832,26.84,36.49,146.525595,70.52132046966861,76.0042745303314,0.0028975065847691097,2013-11-24,18
z03,18,0.0,0.068075,0.05952881582058535,26.14,26.67,54.4668075,53.520299328452694,0.9465081715473076,7.303726402847722e-05,2013-11-24,19
z03,18,0.0,0.02835,0.01177715089138975,25.05,26.1,22.19805,21.82706974692122,0.3709802530787769,0.0002746593275767636,2013-11-24,20
z03,18,0.0,0.465975,0.5816029149738877,38.06,61.21,855.6698925,385.7346913920424,469.93520110795754,0.013369814721208614,2013-11-25,9
z03,18,0.0,0.42,0.7471020467185584,43.09,27.59,542.934,483.6140438275895,59.31995617241046,0.10699574896746997,2013-11-25,10
z03,18,0.0,0.638375,1.0,35.02,26.35,670.6767750000001,574.7738250000001,95.90295000000003,0.130772640625,2013-11-25,11
z03,18,0.0,0.484475,0.9555996098719707,33.62,24.07,488.64148499999993,386.0305449698847,102.61094003011522,0.22195839802701658,2013-11-25,12
z03,18,0.0,0.7944,1.0,28.16,21.83,671.10912,623.30712,47.80199999999991,0.04227136,2013-11-25,13
z03,18,0.0,0.619825,1.0,24.48,22.15,455.19947999999994,342.1734525,113.02602749999994,0.14453303062500003,2013-11-25,14
z03,18,0.0,0.639475,0.6198647178424964,20.76,17.8,398.2650300000001,396.52363694441374,1.741393055586343,0.0003845631662969041,2013-11-25,15
z03,18,0.0,0.635025,0.6093528465876294,20.35,17.61,387.68276249999997,385.5725114895031,2.1102510104968815,0.0006590594608282864,2013-11-25,16
z03,18,0.0,0.445975,0.23855905414860962,19.95,17.01,266.9160375,248.6219510759074,18.294086424092626,0.04302137459342691,2013-11-25,17
z03,18,0.0,0.1807,0.2006214220759028,18.48,17.07,100.18007999999999,95.50053795437043,4.67954204562956,0.00039686305752626767,2013-11-25,18
z03,18,0.0,0.0534,0.049198713451627275,18.68,15.43,29.92536,29.51573456153366,0.4096254384663425,1.7650808661537627e-05,2013-11-25,19
z03,18,0.0,0.01865,0.02295124340101306,19.12,17.06,10.69764,9.729860234772064,0.9677797652279363,1.8500694794758388e-05,2013-11-25,20
z03,18,0.0,0.633025,0.48923492330841556,43.23,27.6,820.9701224999999,753.546955539316,67.42316696068394,0.02067558615497172,2013-11-26,9
z03,18,0.0,0.794325,0.40910536321903196,49.71,28.02,1184.5768724999998,933.914454846624,250.66241765337577,0.1483941685616609,2013-11-26,10
z03,18,0.0,0.8878,0.7186354620380824,40.08,28.21,1067.49072,1007.251228031761,60.23949196823901,0.028616640903869082,2013-11-26,11
z03,18,0.0,0.92215,0.6593046521148729,34.95,25.99,966.874275,896.2214454884778,70.65282951152221,0.06908767690485351,2013-11-26,12
z03,18,0.0,0.9193,0.8536647727193216,31.61,26.38,871.7721899999999,861.4740228396615,10.29816716033838,0.004307983060186309,2013-11-26,13
z03,18,0.0,0.871725,0.877170256649155,25.97,25.83,679.1609474999999,677.062617850248,2.0983296497519177,2.9650819975167527e-05,2013-11-26,14
z03,18,0.0,0.765625,0.5261014523937894,24.34,22.8,559.059375,547.993387100593,11.065987899406991,0.05737152985786465,2013-11-26,15
z03,18,0.0,0.622925,0.6645442650422732,23.09,22.61,431.50014749999997,417.6846324692174,13.815515030782592,0.0017321632226589842,2013-11-26,16
z03,18,0.0,0.407775,0.3351378953496192,22.25,20.94,272.1898125,269.33517428724,2.854638212759994,0.005276148971990374,2013-11-26,17
z03,18,0.0,0.179075,0.19354656756607236,21.55,20.67,115.77198750000001,111.47610266801142,4.295884831988587,0.0002094262678193971,2013-11-26,18
z03,18,0.0,0.06775,0.046377675061299334,21.36,19.24,43.4142,42.05492013389864,1.3592798661013603,0.0004567762732854066,2013-11-26,19
z03,18,0.0,0.025725,0.015194555361240768,21.79,18.38,16.816432499999998,15.73916801345493,1.077264486545067,0.00011089026428997308,2013-11-26,20
z03,18,0.0,0.591925,0.583734724049417,39.44,25.62,700.3656599999999,696.9699715908882,3.395688409111699,6.708062014669959e-05,2013-11-27,9
z03,18,0.0,0.743825,0.6780138964133029,47.01,26.19,1049.0163974999998,1007.9107821997488,41.105615300250975,0.004331101355298971,2013-11-27,10
z03,18,0.0,0.84245,1.0,39.11,29.26,988.446585,942.5759025,45.87068250000004,0.02482200249999999,2013-11-27,11
z03,18,0.0,0.8818,0.9008339993429676,35.42,27.55,937.0006800000001,931.3818433939559,5.6188366060441695,0.00036229313098808976,2013-11-27,12
z03,18,0.0,0.8705,1.0,32.64,26.44,852.3936000000001,813.0774000000001,39.31619999999998,0.016770249999999987,2013-11-27,13
z03,18,0.0,0.8246,1.0,28.53,27.75,705.7751400000001,634.8170700000001,70.95807000000002,0.03076516,2013-11-27,14
z03,18,0.0,0.745325,0.6971712372972225,26.25,26.4,590.2974,587.1601294321624,3.137270567837618,0.0023187848624354047,2013-11-27,15
z03,18,0.0,0.498075,0.6451522586581834,24.82,28.57,426.9000825,299.5635900025126,127.33649249748737,0.02163172001440618,2013-11-27,16
z03,18,0.0,0.36055,0.3083275363952913,23.71,24.72,267.38388,258.04155564722265,9.342324352777325,0.0027271857049451214,2013-11-27,17
z03,18,0.0,0.1861,0.22443460273641408,23.35,24.63,137.50929,115.46430664649264,22.044983353507348,0.0014695417669586869,2013-11-27,18
z03,18,0.0,0.0843,0.05402139797323335,23.36,26.01,65.77929,61.484588861127946,4.294701138872057,0.0009167937406953176,2013-11-27,19
z03,18,0.0,0.027875,0.020892617101106792,24.09,35.76,29.9043,22.589794752902513,7.314505247097486,4.875367094675633e-05,2013-11-27,20
z03,18,0.0,0.560475,0.4770911624649832,38.82,26.82,652.7291849999999,622.7110034873939,30.01818151260602,0.006952864362066071,2013-11-28,9
z03,18,0.0,0.730575,0.610333992051558,42.81,27.01,938.2774725,881.2832347324386,56.99423776756146,0.01445789999245728,2013-11-28,10
z03,18,0.0,0.8349,1.0,39.17,25.78,981.09099,950.4071550000001,30.68383499999993,0.02725801000000001,2013-11-28,11
z03,18,0.0,0.79245,0.8492329197027981,34.65,27.75,823.751775,805.9929168629499,17.758858137050083,0.0032242999699744214,2013-11-28,12
z03,18,0.0,0.527975,1.0,31.35,31.1,496.56048749999997,278.1309187499999,218.42956875000004,0.22280760062500002,2013-11-28,13
z03,18,0.0,0.264425,0.9914655527583007,29.95,28.32,237.58586250000002,-53.48482279678574,291.07068529678577,0.5285879653550954,2013-11-28,14
z03,18,0.0,0.550675,0.7026326283570611,26.19,25.67,432.66534750000005,375.33933220229875,57.3260152977013,0.02309112081590269,2013-11-28,15
z03,18,0.0,0.30755,0.6021945238030907,27.26,24.96,251.51439000000002,151.36471635932944,100.14967364067058,0.08681539540715008,2013-11-28,16
z03,18,0.0,0.208175,0.3098436504878371,23.82,27.62,172.493805,100.84542002508238,71.64838497491763,0.010336514492017975,2013-11-28,17
z03,18,0.0,0.061775,0.23454156388627062,22.99,21.97,42.60621749999999,-11.685675201260528,54.29189270126052,0.02984828559706883,2013-11-28,18
z03,18,0.0,0.048675,0.06164004505525926,22.41,21.51,32.7242025,28.716058821166598,4.008143678833399,0.0001680923932849025,2013-11-28,19
z03,18,0.0,0.009025,0.022762063435171127,22.3,21.45,6.037725,1.7929723985321226,4.244752601467877,0.00018870691182191557,2013-11-28,20
z03,18,0.0,0.19265,0.47198063705231896,29.96,42.38,244.93521,-56.45596365700618,301.3911736570062,0.07802560479605436,2013-11-29,9
z03,18,0.0,0.18885,0.735727734700202,34.22,25.44,193.87340999999998,57.2086640984195,136.6647459015805,0.2990752567108246,2013-11-29,10
z03,18,0.0,0.41845,0.8780398378415847,32.69,28.92,410.37391499999995,236.9936486742621,173.38026632573786,0.21122281904725412,2013-11-29,11
z03,18,0.0,0.473825,0.9383148192088137,34.14,26.57,485.291565,352.911966525488,132.37959847451197,0.2157507921486364,2013-11-29,12
z03,18,0.0,0.63615,1.0,32.67,27.48,623.490615,501.8373675000001,121.65324749999996,0.1323868225,2013-11-29,13
z03,18,0.0,0.833025,0.853023205316546,29.34,24.95,733.228605,727.0611584803772,6.167446519622786,0.0003999282158827266,2013-11-29,14
z03,18,0.0,0.81265,0.66518258193615,28.11,29.35,715.538325,690.7935329519753,24.744792048024692,0.021746639390418314,2013-11-29,15
z03,18,0.0,0.64675,0.44905890511205554,24.1,32.86,637.56615,519.5534697365518,118.01268026344815,0.03908176899799428,2013-11-29,16
z03,18,0.0,0.4758,0.21247293415307278,23.31,25.54,364.55796,350.34352070515945,14.214439294840531,0.06934114360755195,2013-11-29,17
z03,18,0.0,0.20315,0.0804338848890344,23.01,25.84,157.48188000000002,150.65304317292097,6.828836827079044,0.015059244907927758,2013-11-29,18
z03,18,0.0,0.07395,0.026096766750341716,22.66,25.06,55.59561,53.716642793975396,1.8789672060246048,0.0022899319324462017,2013-11-29,19
z03,18,0.0,0.018175,0.007613247465126701,22.74,24.49,13.3531725,12.953477008080847,0.399695491919152,0.00011155061660790256,2013-11-29,20
z03,18,0.0,0.63415,0.3716251758487349,30.98,62.8,1194.7386,839.9852071347975,354.7533928652024,0.06891928329565267,2013-11-30,9
