n_obs,nrmse,optimality_gap,total_regret,cvar90,max_regret,sse,actual_sum,oracle_sum,realized_sum,zone,block,cvar_lambda,train_start,train_end,test_start,test_end,history_rows
360,56.08944781342874,17.873099260754525,20083.241031465448,393.9697543794588,2651.0635753482275,8.461540923235537,98.399935889,112365.74439870045,92282.50336723501,z01,1,0.0,2012-04-02,2012-06-30,2012-07-01,2012-07-30,6
360,56.597115525446505,17.653271749173246,19836.230211684007,387.000931645549,2643.799990139041,8.615405556929879,98.399935889,112365.74439870045,92529.51418701644,z01,1,0.05,2012-04-02,2012-06-30,2012-07-01,2012-07-30,6
360,68.8966369431313,19.744747278581652,20131.17042373288,394.74849658732484,3234.868174546128,18.32193922742732,117.87967949,101957.09339653289,81825.92297280002,z01,2,0.0,2012-05-02,2012-07-30,2012-07-31,2012-08-29,12
360,73.43039226172073,20.465619774125827,20866.151067284773,409.0239218773407,3454.825431448706,20.812635979405506,117.87967949,101957.09339653289,81090.94232924812,z01,2,0.05,2012-05-02,2012-07-30,2012-07-31,2012-08-29,12
360,67.86626399607036,19.057049894918077,19964.40250765553,381.40662625092966,1960.7058548620155,22.402384040475425,132.32576921100002,104761.243832286,84796.84132463047,z01,3,0.0,2012-06-01,2012-08-29,2012-08-30,2012-09-28,12
360,67.97845675064775,19.1812985996718,20094.566996201032,381.8066347963275,1949.7450037157384,22.476514028518864,132.32576921100002,104761.243832286,84666.67683608495,z01,3,0.05,2012-06-01,2012-08-29,2012-08-30,2012-09-28,12
360,101.72571773965089,27.741662778216398,35655.90084193028,652.8151652955886,4418.90769216,62.77879204216518,147.783846151,128528.34787512585,92872.44703319557,z01,4,0.0,2012-07-01,2012-09-28,2012-09-29,2012-10-28,12
360,101.81572897599942,28.41488401881697,36521.18098001862,652.1506006316498,4418.90769216,62.88993987864695,147.783846151,128528.34787512585,92007.16689510724,z01,4,0.05,2012-07-01,2012-09-28,2012-09-29,2012-10-28,12
360,56.053675157660656,24.345436359715514,32815.22622497655,573.8564259929184,3412.6730767589997,16.77364162164653,138.631153841,134790.0515731812,101974.82534820464,z01,5,0.0,2012-07-31,2012-10-28,2012-10-29,2012-11-27,12
360,57.013392796360954,24.70555309131449,33300.62775322246,593.5047468286261,3412.6730767589997,17.35293529054093,138.631153841,134790.0515731812,101489.42381995873,z01,5,0.05,2012-07-31,2012-10-28,2012-10-29,2012-11-27,12
360,56.973344591344116,20.071558427039808,28591.741659097428,506.00012745437664,1434.8859404506552,16.84630427582381,136.68846153600003,142449.036844989,113857.29518589156,z01,6,0.0,2012-08-30,2012-11-27,2012-11-28,2012-12-27,12
360,60.16298012989869,19.85639439072047,28285.24256172373,499.80101897896446,1495.9467497382004,18.785375962672312,136.68846153600003,142449.036844989,114163.79428326528,z01,6,0.05,2012-08-30,2012-11-27,2012-11-28,2012-12-27,12
360,33.86323784092273,14.174911198120583,22794.25172285898,499.50369745031355,7080.539463925451,7.771613128478823,156.199038459,160807.0160318268,138012.76430896783,z01,7,0.0,2012-09-29,2012-12-27,2012-12-28,2013-01-26,12
360,40.09719470585825,14.131267389309059,22724.069416226528,484.5951581231763,6638.567606752836,10.896378741585924,156.199038459,160807.0160318268,138082.94661560026,z01,7,0.05,2012-09-29,2012-12-27,2012-12-28,2013-01-26,12
360,47.69310701097739,14.862082735651661,17965.550199655776,291.2284936359466,951.1124933071009,11.067627118382099,132.349679494,120881.7802942209,102916.23009456514,z01,8,0.0,2012-10-29,2013-01-26,2013-01-27,2013-02-25,12
360,49.56508267331611,14.793670454834976,17882.852216664684,287.75182446398685,912.9973132580814,11.953496449849652,132.349679494,120881.7802942209,102998.92807755621,z01,8,0.05,2012-10-29,2013-01-26,2013-01-27,2013-02-25,12
360,45.85946353541711,12.973760000860013,17102.557239575523,245.9372576518536,1131.5787942896402,10.464592062956077,133.839230767,131824.2147106299,114721.65747105438,z01,9,0.0,2012-11-28,2013-02-25,2013-02-26,2013-03-27,12
360,46.61775729273069,13.369590707720361,17624.35796047771,249.04081544892517,1172.0502836258975,10.813520699387382,133.839230767,131824.2147106299,114199.85675015219,z01,9,0.05,2012-11-28,2013-02-25,2013-02-26,2013-03-27,12
360,69.6666652584811,30.211955875070757,46036.14431856203,881.7591501489156,8498.289818822386,18.768862239902113,117.989999995,152377.2393582387,106341.09503967667,z01,10,0.0,2012-12-28,2013-03-27,2013-03-28,2013-04-26,12
360,73.87147505103447,29.971225451959523,45669.32594552972,874.2408229364243,8440.912868954732,21.102866108804733,117.989999995,152377.2393582387,106707.91341270898,z01,10,0.05,2012-12-28,2013-03-27,2013-03-28,2013-04-26,12
360,72.33547475416782,14.138607130131966,15495.529548637267,231.364393439389,1381.075267718175,16.481010628446825,106.48583333299999,109597.2849801693,94101.75543153204,z01,11,0.0,2013-01-27,2013-04-26,2013-04-27,2013-05-26,12
360,84.5371698259267,13.553184663002229,14853.922418999151,211.70725258239364,786.035333273597,22.510056005976445,106.48583333299999,109597.2849801693,94743.36256117016,z01,11,0.05,2013-01-27,2013-04-26,2013-04-27,2013-05-26,12
360,82.46345793730752,26.367021656958546,17746.78505790543,298.5417831103158,1429.4944615543714,10.739935503940298,75.403333319,67306.74889562985,49559.96383772442,z01,12,0.0,2013-02-26,2013-05-26,2013-05-27,2013-06-25,12
360,84.10480150272673,24.49724242568687,16488.297445810764,280.83977531971044,1338.1218552599144,11.171723270423044,75.403333319,67306.74889562985,50818.451449819084,z01,12,0.05,2013-02-26,2013-05-26,2013-05-27,2013-06-25,12
360,88.07840995331847,25.621950434290365,18665.686402334926,313.15914718672303,1089.5729968093933,12.110655023347451,74.966217936,72850.3727700381,54184.68636770317,z01,13,0.0,2013-03-28,2013-06-25,2013-06-26,2013-07-25,12
360,92.86747640437088,24.757002662195255,18035.5687260975,305.4516427332307,1022.3506153218465,13.463438465523108,74.966217936,72850.3727700381,54814.8040439406,z01,13,0.05,2013-03-28,2013-06-25,2013-06-26,2013-07-25,12
360,80.71544145426454,31.456624858556204,28682.881291054204,551.8174859184343,1749.8412979549503,19.348725706935966,103.400064101,91182.3230242467,62499.44173319251,z01,14,0.0,2013-04-27,2013-07-25,2013-07-26,2013-08-24,12
360,80.3842180912635,30.837005483613655,28117.897951073268,546.5959885723533,1749.8412979549503,19.190252918317,103.400064101,91182.3230242467,63064.42507317342,z01,14,0.05,2013-04-27,2013-07-25,2013-07-26,2013-08-24,12
360,88.67596376924988,29.419653707882663,34416.41972376997,467.381696800788,1977.4287693373499,31.060194007192266,119.246987156,116984.4487821027,82568.02905833273,z01,15,0.0,2013-05-27,2013-08-24,2013-08-25,2013-09-23,12
360,89.19549081187174,28.596567952063552,33453.53738932098,443.42351481863415,1950.5933636289958,31.425205672932485,119.246987156,116984.4487821027,83530.91139278171,z01,15,0.05,2013-05-27,2013-08-24,2013-08-25,2013-09-23,12
360,115.67187420656404,12.086992304506916,16909.30828854152,252.8055889078676,943.8046249378501,81.28251893593384,147.88429487,139896.74074861858,122987.43246007708,z01,16,0.0,2013-06-26,2013-09-23,2013-09-24,2013-10-23,12
360,117.23452719085603,11.855092978413202,16584.888689518404,250.79701339184456,943.8046249378501,83.49350283498691,147.88429487,139896.74074861858,123311.8520591002,z01,16,0.05,2013-06-26,2013-09-23,2013-09-24,2013-10-23,12
360,70.65671605099406,20.203054669179313,30698.884543656455,519.1087728616803,1623.2686924043996,31.882357760703094,151.625769231,151951.69763357128,121252.81308991485,z01,17,0.0,2013-07-26,2013-10-23,2013-10-24,2013-11-22,12
360,70.35109060248305,20.773052819918163,31565.0064101841,531.097195683657,1623.2686924043996,31.607140159878075,151.625769231,151951.69763357128,120386.69122338721,z01,17,0.05,2013-07-26,2013-10-23,2013-10-24,2013-11-22,12
360,52.36737902296712,13.117620415705876,24341.697291421595,369.68004554265104,2039.3439281839123,17.690070183504105,152.389551282,185564.88539855144,161223.18810712983,z01,18,0.0,2013-08-25,2013-11-22,2013-11-23,2013-12-22,12
360,57.88988891146909,13.153687107454255,24408.624406631523,363.1031808774342,1782.4548541053978,21.617890469670616,152.389551282,185564.88539855144,161156.2609919199,z01,18,0.05,2013-08-25,2013-11-22,2013-11-23,2013-12-22,12
360,41.57843045663608,28.212975429287994,59050.087146301856,1381.851028615506,10937.963508535588,10.218865231267024,145.87621794300003,209301.1681603839,150251.08101408207,z01,19,0.0,2013-09-24,2013-12-22,2013-12-23,2014-01-21,12
360,42.33407410198168,27.7018734447378,57980.3447221474,1356.435776565844,10323.874711230907,10.593674401180195,145.87621794300003,209301.1681603839,151320.8234382365,z01,19,0.05,2013-09-24,2013-12-22,2013-12-23,2014-01-21,12
360,49.76042741184364,21.62171439604181,71065.58765583446,1466.3097500513763,7599.973823414633,13.676277288152932,141.01038461299999,328676.9326156862,257611.3449598517,z01,20,0.0,2013-10-24,2014-01-21,2014-01-22,2014-02-20,12
360,53.09725779046097,21.825149818032173,71734.23296068617,1465.311803339574,7230.129005333615,15.5719814807501,141.01038461299999,328676.9326156862,256942.699655,z01,20,0.05,2013-10-24,2014-01-21,2014-01-22,2014-02-20,12
360,53.87815878703229,21.452758482897625,47089.306413036276,910.6643124027627,4808.586162352929,13.086799207875227,127.39583334099999,219502.3378955037,172413.03148246743,z01,21,0.0,2013-11-23,2014-02-20,2014-02-21,2014-03-22,12
360,56.667937889152945,20.798570494146595,45653.3484834962,855.5874598735687,3945.1272082678324,14.47713971654968,127.39583334099999,219502.3378955037,173848.9894120075,z01,21,0.05,2013-11-23,2014-02-20,2014-02-21,2014-03-22,12
360,80.41973173061852,22.012269553141863,22691.28463295725,289.78310487223115,786.6456420732095,16.29296504766436,95.23326922,103084.71181572675,80393.4271827695,z01,22,0.0,2013-12-23,2014-03-22,2014-03-23,2014-04-21,12
360,77.48484782918902,19.79011995789209,20400.58812657969,246.9069857717042,567.1622910592232,15.125455240191041,95.23326922,103084.71181572675,82684.12368914706,z01,22,0.05,2013-12-23,2014-03-22,2014-03-23,2014-04-21,12
360,74.3125456998379,23.685628738901354,30416.95835176877,639.9285222643897,7441.521160163219,15.621678981066822,100.914358975,128419.46771635351,98002.50936458472,z01,23,0.0,2014-01-22,2014-04-21,2014-04-22,2014-05-21,12
360,74.69987062058648,23.016003056783656,29557.028615101226,617.6164350874087,7196.708695022771,15.784947077283865,100.914358975,128419.46771635351,98862.43910125227,z01,23,0.05,2014-01-22,2014-04-21,2014-04-22,2014-05-21,12
360,77.49128831352942,21.51343770982019,17594.442407969094,277.14966838323744,780.7449801842304,9.094284583137952,73.838461526,81783.5003651592,64189.05795719011,z01,24,0.0,2014-02-21,2014-05-21,2014-05-22,2014-06-20,12
360,78.19939326990581,18.93262933274159,15483.766979476957,241.93820859880782,780.7454200916428,9.26124865667362,73.838461526,81783.5003651592,66299.73338568225,z01,24,0.05,2014-02-21,2014-05-21,2014-05-22,2014-06-20,12
360,57.045910642388506,16.18971097755863,18757.587849804113,363.66180055493777,1937.6242852931543,11.251783968442822,111.567429137,115861.16562429647,97103.57777449235,z02,1,0.0,2012-04-02,2012-06-30,2012-07-01,2012-07-30,6
360,59.061709324494174,15.959357981989807,18490.69818408759,349.07677178344886,1680.1393634983963,12.061029351460157,111.567429137,115861.16562429647,97370.46744020886,z02,1,0.05,2012-04-02,2012-06-30,2012-07-01,2012-07-30,6
360,82.79495774805319,20.657902645461185,21122.288565121074,362.7571450473076,1318.6340780419623,32.72588102546353,131.097085015,102247.98193519379,81125.69337007272,z02,2,0.0,2012-05-02,2012-07-30,2012-07-31,2012-08-29,12
360,80.64618265842739,19.861037554635672,20307.510091005937,363.39845815539394,1758.952088456035,31.049256116379397,131.097085015,102247.98193519379,81940.47184418786,z02,2,0.05,2012-05-02,2012-07-30,2012-07-31,2012-08-29,12
360,64.47425788623947,21.865037972041204,23165.51314410455,335.6622357820475,1425.305290572528,26.569288993420464,151.68927118300002,105947.7379994778,82782.22485537325,z02,3,0.0,2012-06-01,2012-08-29,2012-08-30,2012-09-28,12
360,66.20048248144951,21.519756790715277,22799.695542751855,326.68026510401825,1365.6371801048924,28.011059624396022,151.68927118300002,105947.7379994778,83148.04245672593,z02,3,0.05,2012-06-01,2012-08-29,2012-08-30,2012-09-28,12
360,95.44660115198403,17.596102103283727,23176.171736027434,329.56736335326605,1247.5887900002829,75.75766809525152,173.023097124,131711.964388422,108535.79265239456,z02,4,0.0,2012-07-01,2012-09-28,2012-09-29,2012-10-28,12
360,98.96044756065186,27.296157926026876,35952.30580693595,635.726435424089,4445.827530240001,81.43834964737107,173.023097124,131711.964388422,95759.65858148606,z02,4,0.05,2012-07-01,2012-09-28,2012-09-29,2012-10-28,12
360,62.657461895247074,29.92743346353166,42145.98919156288,670.4992819803973,3557.6976467287504,28.48129654742057,161.606315787,140827.2755594637,98681.28636790082,z02,5,0.0,2012-07-31,2012-10-28,2012-10-29,2012-11-27,12
360,63.39016751213556,30.081161650871863,42362.480409561045,671.0091889419199,3557.6976467287504,29.151302037663882,161.606315787,140827.2755594637,98464.79514990267,z02,5,0.05,2012-07-31,2012-10-28,2012-10-29,2012-11-27,12
360,55.77127368431559,18.668478555467455,27323.299717293667,423.3709960669271,1700.9578293438685,21.49199729257632,157.71720646400001,146360.61335213343,119037.31363483972,z02,6,0.0,2012-08-30,2012-11-27,2012-11-28,2012-12-27,12
360,63.5480407666483,17.698799935034895,25904.07214088406,417.5027352269751,2029.101526367711,27.903583599934514,157.71720646400001,146360.61335213343,120456.54121124934,z02,6,0.05,2012-08-30,2012-11-27,2012-11-28,2012-12-27,12
360,36.40364628269347,14.597733827655592,24219.441703355453,461.39577760888665,5773.509866807828,11.982019510357546,180.414473683,165912.33947197621,141692.89776862075,z02,7,0.0,2012-09-29,2012-12-27,2012-12-28,2013-01-26,12
360,37.629428536989366,14.573747895837517,24179.64608273193,455.7715244519002,5764.3105275226135,12.802520988460746,180.414473683,165912.33947197621,141732.69338924426,z02,7,0.05,2012-09-29,2012-12-27,2012-12-28,2013-01-26,12
360,48.30932911087476,13.737642296871272,17397.150073174595,241.98101039833006,767.2022357813655,14.32407248371768,148.64609310999998,126638.5431882789,109241.3931151043,z02,8,0.0,2012-10-29,2013-01-26,2013-01-27,2013-02-25,12
360,49.045660157851856,13.099419660059391,16588.91422361821,224.80787716024525,565.6971766087597,14.764055409381722,148.64609310999998,126638.5431882789,110049.62896466069,z02,8,0.05,2012-10-29,2013-01-26,2013-01-27,2013-02-25,12
360,53.28743219965023,12.041345313116198,17069.05218282499,240.8068805968143,1099.7839895254515,17.517697673086825,149.027004046,141753.6972736119,124684.64509078691,z02,9,0.0,2012-11-28,2013-02-25,2013-02-26,2013-03-27,12
360,56.38646125744576,11.808290928291596,16738.688975677847,232.65272273910355,1044.6990806117497,19.614494498515835,149.027004046,141753.6972736119,125015.00829793407,z02,9,0.05,2012-11-28,2013-02-25,2013-02-26,2013-03-27,12
360,73.28099618571817,37.4499905873916,56664.14686222878,990.4154929254469,12857.597888976208,26.34783136924663,132.902246932,151306.1711724597,94642.02431023092,z02,10,0.0,2012-12-28,2013-03-27,2013-03-28,2013-04-26,12
360,72.8991100900367,36.946269852956895,55901.98630555383,967.676150610719,12728.050410597109,26.073936267438107,132.902246932,151306.1711724597,95404.18486690588,z02,10,0.05,2012-12-28,2013-03-27,2013-03-28,2013-04-26,12
360,61.796535509242524,17.83489519552641,19338.485537122935,287.2222548605257,1092.3769443815065,13.637413258948722,113.384352172,108430.6093482045,89092.12381108155,z02,11,0.0,2013-01-27,2013-04-26,2013-04-27,2013-05-26,12
360,63.385294682108864,17.53182732482684,19009.86719818476,271.65071314749525,1040.897826192896,14.347649964310465,113.384352172,108430.6093482045,89420.74215001974,z02,11,0.05,2013-01-27,2013-04-26,2013-04-27,2013-05-26,12
360,78.60308976882884,27.503338048816556,18751.066550204807,309.384224939684,1118.5585611110548,11.31195409427607,81.185870103,68177.4209258634,49426.3543756586,z02,12,0.0,2013-02-26,2013-05-26,2013-05-27,2013-06-25,12
