block	test_start	test_end	orig_train_start	orig_train_end	seasonal_feasible	seasonal_train_start	seasonal_train_end
1	2012-07-01	2012-07-30	2012-04-02	2012-06-30	False	2011-05-03	2011-07-31
2	2012-07-31	2012-08-29	2012-05-02	2012-07-30	False	2011-06-02	2011-08-30
3	2012-08-30	2012-09-28	2012-06-01	2012-08-29	False	2011-07-02	2011-09-29
4	2012-09-29	2012-10-28	2012-07-01	2012-09-28	False	2011-08-01	2011-10-29
5	2012-10-29	2012-11-27	2012-07-31	2012-10-28	False	2011-08-31	2011-11-28
6	2012-11-28	2012-12-27	2012-08-30	2012-11-27	False	2011-09-30	2011-12-28
7	2012-12-28	2013-01-26	2012-09-29	2012-12-27	False	2011-10-30	2012-01-27
8	2013-01-27	2013-02-25	2012-10-29	2013-01-26	False	2011-11-29	2012-02-26
9	2013-02-26	2013-03-27	2012-11-28	2013-02-25	False	2011-12-29	2012-03-27
10	2013-03-28	2013-04-26	2012-12-28	2013-03-27	False	2012-01-28	2012-04-26
11	2013-04-27	2013-05-26	2013-01-27	2013-04-26	False	2012-02-27	2012-05-26
12	2013-05-27	2013-06-25	2013-02-26	2013-05-26	False	2012-03-28	2012-06-25
13	2013-06-26	2013-07-25	2013-03-28	2013-06-25	True	2012-04-27	2012-07-25
14	2013-07-26	2013-08-24	2013-04-27	2013-07-25	True	2012-05-27	2012-08-24
15	2013-08-25	2013-09-23	2013-05-27	2013-08-24	True	2012-06-26	2012-09-23
16	2013-09-24	2013-10-23	2013-06-26	2013-09-23	True	2012-07-26	2012-10-23
17	2013-10-24	2013-11-22	2013-07-26	2013-10-23	True	2012-08-25	2012-11-22
18	2013-11-23	2013-12-22	2013-08-25	2013-11-22	True	2012-09-24	2012-12-22
19	2013-12-23	2014-01-21	2013-09-24	2013-12-22	True	2012-10-24	2013-01-21
20	2014-01-22	2014-02-20	2013-10-24	2014-01-21	True	2012-11-23	2013-02-20
21	2014-02-21	2014-03-22	2013-11-23	2014-02-20	True	2012-12-23	2013-03-22
22	2014-03-23	2014-04-21	2013-12-23	2014-03-22	True	2013-01-22	2013-04-21
23	2014-04-22	2014-05-21	2014-01-22	2014-04-21	True	2013-02-21	2013-05-21
24	2014-05-22	2014-06-20	2014-02-21	2014-05-21	True	2013-03-23	2013-06-20
