block	approach	model	nRMSE	gap
1	original	ar	50.472300	41.352279
1	original	mlr	32.633624	44.077177
2	original	ar	73.179571	31.581822
2	original	mlr	43.620343	36.647606
3	original	ar	52.349826	33.535507
3	original	mlr	48.420298	29.306155
4	original	ar	72.215599	22.275527
4	original	mlr	34.120662	27.411248
5	original	ar	63.153594	23.316313
5	original	mlr	35.599147	29.422551
6	original	ar	60.866333	27.764228
6	original	mlr	45.540031	29.411338
7	original	ar	44.210582	26.575042
7	original	mlr	37.520310	26.729858
8	original	ar	62.354421	26.693978
8	original	mlr	52.249557	29.176849
9	original	ar	50.998614	30.458563
9	original	mlr	41.144796	32.486140
10	original	ar	63.779670	39.958615
10	original	mlr	36.541022	45.435589
11	original	ar	61.229120	38.066260
11	original	mlr	34.812132	42.808934
12	original	ar	125.429339	42.522205
12	original	mlr	69.853654	50.494656
13	original	ar	86.817100	43.808935
13	original	mlr	59.327718	48.206522
13	seasonal	ar	94.096245	42.747629
13	seasonal	mlr	53.389720	49.336418
14	original	ar	109.978457	37.887164
14	original	mlr	79.652049	43.009440
14	seasonal	ar	100.290681	39.989374
14	seasonal	mlr	80.336511	42.939618
15	original	ar	68.899752	35.184987
15	original	mlr	50.381165	33.461754
15	seasonal	ar	62.200197	33.181380
15	seasonal	mlr	49.176839	33.635810
16	original	ar	111.731273	30.736193
16	original	mlr	36.291793	26.338066
16	seasonal	ar	40.436224	28.053812
16	seasonal	mlr	31.247590	28.204703
17	original	ar	58.048126	23.331258
17	original	mlr	32.735567	27.541415
17	seasonal	ar	51.865440	24.630431
17	seasonal	mlr	35.891738	26.557168
18	original	ar	42.285986	23.506438
18	original	mlr	31.343041	24.530857
18	seasonal	ar	42.778369	22.510076
18	seasonal	mlr	35.880761	23.155463
19	original	ar	59.852123	30.193460
19	original	mlr	42.975757	32.446186
19	seasonal	ar	50.660125	33.004836
19	seasonal	mlr	44.305251	32.357315
20	original	ar	56.089292	24.862395
20	original	mlr	51.149159	24.389699
20	seasonal	ar	51.731813	26.167939
20	seasonal	mlr	40.836952	26.815940
21	original	ar	111.574721	19.535086
21	original	mlr	79.168055	28.858408
21	seasonal	ar	67.108268	32.203271
21	seasonal	mlr	49.391681	35.863330
22	original	ar	168.285401	20.940347
22	original	mlr	124.753981	30.036674
22	seasonal	ar	97.030316	38.167924
22	seasonal	mlr	52.974614	45.405055
23	original	ar	103.962387	32.984107
23	original	mlr	97.687393	33.622798
23	seasonal	ar	72.892409	40.277950
23	seasonal	mlr	47.700561	43.691302
24	original	ar	154.253804	34.239292
24	original	mlr	163.869163	30.416613
24	seasonal	ar	103.015416	43.332089
24	seasonal	mlr	70.039299	48.080294
